Symbol,Date,Open,High,Low,Close,Volume
AMZN,2025-07-25,232.22,232.48,231.18,231.44,28712095
AMZN,2025-07-24,229.17,236.0,228.64,232.23,42902266
AMZN,2025-07-23,228.47,228.79,227.09,228.29,28294852
AMZN,2025-07-22,229.68,230.0,226.35,227.47,37483702
AMZN,2025-07-21,225.835,229.69,225.65,229.3,40297556
AMZN,2025-07-18,225.14,226.4,222.98,226.13,37833807
AMZN,2025-07-17,223.32,224.5,222.51,223.88,31855831
AMZN,2025-07-16,225.875,226.1,222.18,223.19,39535926
AMZN,2025-07-15,226.2,227.27,225.455,226.35,34907294
AMZN,2025-07-14,225.07,226.66,224.24,225.69,35702597
AMZN,2025-07-11,223.58,226.6799,222.37,225.02,50518307
AMZN,2025-07-10,221.55,222.79,219.7,222.26,30370591
AMZN,2025-07-09,221.07,224.29,220.47,222.54,38155121
AMZN,2025-07-08,223.915,224.0,218.43,219.36,45691987
AMZN,2025-07-07,223.0,224.29,222.37,223.47,36604139
AMZN,2025-07-03,221.82,224.01,221.36,223.41,29632353
AMZN,2025-07-02,219.73,221.6,219.06,219.92,30894178
AMZN,2025-07-01,219.5,221.875,217.93,220.46,39256830
AMZN,2025-06-30,223.52,223.82,219.12,219.39,58887780
AMZN,2025-06-27,219.92,223.3,216.74,223.3,119217138
AMZN,2025-06-26,213.12,218.035,212.01,217.12,50480814
AMZN,2025-06-25,214.615,216.03,211.11,211.99,31755698
AMZN,2025-06-24,212.135,214.34,211.045,212.77,38378757
AMZN,2025-06-23,209.79,210.39,207.3101,208.47,37311725
AMZN,2025-06-20,214.68,214.89,208.2709,209.69,75350733
AMZN,2025-06-18,215.09,217.96,212.34,212.52,44360509
AMZN,2025-06-17,215.195,217.41,214.56,214.82,32086262
AMZN,2025-06-16,212.31,217.06,211.6,216.1,33284158
AMZN,2025-06-13,209.96,214.05,209.62,212.1,29337763
AMZN,2025-06-12,211.78,213.58,211.33,213.24,27639991
AMZN,2025-06-11,217.41,218.4,212.89,213.2,39325981
AMZN,2025-06-10,216.78,217.69,214.15,217.61,31303317
AMZN,2025-06-09,214.75,217.85,212.88,216.98,38102502
AMZN,2025-06-06,212.4,213.8699,210.5,213.57,39832500
AMZN,2025-06-05,209.55,212.81,207.56,207.91,51979243
AMZN,2025-06-04,206.55,208.18,205.18,207.23,29915592
AMZN,2025-06-03,207.105,208.9469,205.03,205.71,33139121
AMZN,2025-06-02,204.98,207.0,202.68,206.65,29113319
AMZN,2025-05-30,204.84,205.99,201.695,205.01,51679406
AMZN,2025-05-29,208.025,208.81,204.23,205.7,34700005
AMZN,2025-05-28,205.915,207.66,204.41,204.72,28549753
AMZN,2025-05-27,203.085,206.69,202.19,206.02,34892044
AMZN,2025-05-23,198.9,202.37,197.85,200.99,33393545
AMZN,2025-05-22,201.38,205.76,200.16,203.1,38938882
AMZN,2025-05-21,201.61,203.455,200.06,201.12,42460924
AMZN,2025-05-20,204.628,205.5899,202.65,204.07,29470373
AMZN,2025-05-19,201.645,206.62,201.26,206.16,34314810
AMZN,2025-05-16,206.85,206.85,204.374,205.59,43318478
AMZN,2025-05-15,206.45,206.88,202.673,205.17,64347317
AMZN,2025-05-14,211.45,211.93,208.85,210.25,38492128
AMZN,2025-05-13,211.08,214.84,210.1,211.37,56193682
AMZN,2025-05-12,210.71,211.66,205.75,208.64,75205042
AMZN,2025-05-09,193.375,194.69,191.16,193.06,29663143
AMZN,2025-05-08,191.43,194.33,188.82,192.08,41043620
AMZN,2025-05-07,185.56,190.99,185.01,188.71,44002926
AMZN,2025-05-06,184.57,187.93,183.85,185.01,29314055
AMZN,2025-05-05,186.51,188.18,185.53,186.35,35217469
AMZN,2025-05-02,191.435,192.88,186.4,189.98,77903487
